Data operacji;Rodzaj;Wartość;Waluta;Saldo całkowite po operacji
"28-11-2020 15:16:21";"Pobranie prowizji za transakcję";"-0.00000572";"BTC";"0.08476231"
"28-11-2020 15:16:21";"Otrzymanie środków z transakcji na rachunek";"0.00190564";"BTC";"0.08476803"
"28-11-2020 15:16:21";"Pobranie środków z transakcji z rachunku";"-125.01";"PLN";"0.00"
"27-11-2020 18:54:08";"Pobranie prowizji za transakcję";"-0.00000596";"BTC";"0.08286239"
"27-11-2020 18:54:08";"Otrzymanie środków z transakcji na rachunek";"0.00198403";"BTC";"0.08286835"
"27-11-2020 18:54:08";"Pobranie środków z transakcji z rachunku";"-125.00";"PLN";"125.01"
"27-11-2020 15:15:25";"Wpłata na rachunek";"250.00";"PLN";"250.01"
"22-11-2020 08:31:08";"Pobranie prowizji za transakcję";"-0.00001943";"BTC";"0.08088432"
"22-11-2020 08:31:08";"Otrzymanie środków z transakcji na rachunek";"0.006474";"BTC";"0.08090375"
"22-11-2020 08:31:08";"Pobranie środków z transakcji z rachunku";"-100.01";"EUR";"0.01"
"21-11-2020 11:00:39";"Pobranie prowizji za transakcję";"-0.00000673";"BTC";"0.07442975"
"21-11-2020 11:00:39";"Otrzymanie środków z transakcji na rachunek";"0.00224282";"BTC";"0.07443648"
"21-11-2020 11:00:39";"Pobranie środków z transakcji z rachunku";"-35.32";"EUR";"100.02"
"21-11-2020 11:00:06";"Pobranie prowizji za transakcję";"-0.00000677";"BTC";"0.07219366"
"21-11-2020 11:00:06";"Otrzymanie środków z transakcji na rachunek";"0.00225489";"BTC";"0.07220043"
"21-11-2020 11:00:06";"Pobranie środków z transakcji z rachunku";"-35.52";"EUR";"135.34"
"21-11-2020 10:41:10";"Pobranie prowizji za transakcję";"-0.00000556";"BTC";"0.06994554"
"21-11-2020 10:41:10";"Otrzymanie środków z transakcji na rachunek";"0.00185051";"BTC";"0.0699511"
"21-11-2020 10:41:10";"Pobranie środków z transakcji z rachunku";"-29.15";"EUR";"170.86"
"20-11-2020 19:51:46";"Pobranie prowizji za transakcję";"-0.0000087";"BTC";"0.06810059"
"20-11-2020 19:51:46";"Otrzymanie środków z transakcji na rachunek";"0.00289795";"BTC";"0.06810929"
"20-11-2020 19:51:46";"Pobranie środków z transakcji z rachunku";"-202.14";"PLN";"0.01"
"20-11-2020 19:50:38";"Pobranie prowizji za transakcję";"-0.00000549";"BTC";"0.06521134"
"20-11-2020 19:50:38";"Otrzymanie środków z transakcji na rachunek";"0.00182684";"BTC";"0.06521683"
"20-11-2020 19:50:38";"Pobranie środków z transakcji z rachunku";"-127.42";"PLN";"202.15"
"19-11-2020 17:01:07";"Utworzenie rachunku";"0.00";"QARK";"0.00"
"19-11-2020 16:51:47";"Pobranie prowizji za transakcję";"-0.00001451";"BTC";"0.06338999"
"19-11-2020 16:51:47";"Otrzymanie środków z transakcji na rachunek";"0.00483588";"BTC";"0.0634045"
"19-11-2020 16:51:47";"Pobranie środków z transakcji z rachunku";"-329.57";"PLN";"329.57"
"18-11-2020 06:35:25";"Pobranie prowizji za transakcję";"-0.00003043";"BTC";"0.05856862"
"18-11-2020 06:35:25";"Otrzymanie środków z transakcji na rachunek";"0.01014077";"BTC";"0.05859905"
"18-11-2020 06:35:25";"Pobranie środków z transakcji z rachunku";"-659.15";"PLN";"659.14"
"13-11-2020 13:46:46";"Wpłata na rachunek";"200.00";"EUR";"200.01"
"12-11-2020 07:28:10";"Pobranie prowizji za transakcję";"-1.02";"PLN";"1318.29"
"12-11-2020 07:28:10";"Otrzymanie środków z transakcji na rachunek";"338.28";"PLN";"1319.31"
"12-11-2020 07:28:10";"Pobranie środków z transakcji z rachunku";"-0.19124921";"ETH";"0.00"
"12-11-2020 01:02:12";"Pobranie prowizji za transakcję";"-2.66";"PLN";"981.03"
"12-11-2020 01:02:12";"Otrzymanie środków z transakcji na rachunek";"884.41";"PLN";"983.69"
"12-11-2020 01:02:12";"Pobranie środków z transakcji z rachunku";"-0.50";"ETH";"0.19124921"
"12-11-2020 00:58:56";"Pobranie prowizji za transakcję";"-0.30";"PLN";"99.28"
"12-11-2020 00:58:56";"Otrzymanie środków z transakcji na rachunek";"99.57";"PLN";"99.58"
"12-11-2020 00:58:56";"Pobranie środków z transakcji z rachunku";"-0.0562971";"ETH";"0.69124921"
"04-09-2020 14:45:50";"Pobranie prowizji za transakcję";"-0.00045296";"ETH";"0.74754631"
"04-09-2020 14:45:50";"Otrzymanie środków z transakcji na rachunek";"0.15098507";"ETH";"0.74799927"
"04-09-2020 14:45:50";"Pobranie środków z transakcji z rachunku";"-50.57";"EUR";"0.01"
"04-09-2020 14:27:51";"Pobranie prowizji za transakcję";"-0.00001713";"BTC";"0.04845828"
"04-09-2020 14:27:51";"Otrzymanie środków z transakcji na rachunek";"0.0057088";"BTC";"0.04847541"
"04-09-2020 14:27:51";"Pobranie środków z transakcji z rachunku";"-50.57";"EUR";"50.58"
"04-09-2020 14:12:14";"Wpłata na rachunek";"100.00";"EUR";"101.15"
"03-09-2020 11:58:20";"Utworzenie rachunku";"0.00";"USDT";"0.00"
