Data operacji;Rodzaj;Wartość;Waluta;Saldo całkowite po operacji
"27-05-2020 23:36:14";"Pobranie prowizji za transakcję";"-0.00000307";"BTC";"0.02565601"
"27-05-2020 23:36:14";"Otrzymanie środków z transakcji na rachunek";"0.00102278";"BTC";"0.02565908"
"27-05-2020 23:36:14";"Pobranie środków z transakcji z rachunku";"-37.69";"PLN";"0.09"
"27-05-2020 15:57:44";"Pobranie prowizji za transakcję";"-0.00000303";"BTC";"0.0246363"
"27-05-2020 15:57:44";"Otrzymanie środków z transakcji na rachunek";"0.00100749";"BTC";"0.02463933"
"27-05-2020 15:57:44";"Pobranie środków z transakcji z rachunku";"-37.59";"PLN";"37.78"
"26-05-2020 12:00:45";"Pobranie prowizji za transakcję";"-0.00000614";"BTC";"0.02363184"
"26-05-2020 12:00:45";"Otrzymanie środków z transakcji na rachunek";"0.002045";"BTC";"0.02363798"
"26-05-2020 12:00:45";"Pobranie środków z transakcji z rachunku";"-74.64";"PLN";"75.37"
"26-05-2020 11:41:50";"Wpłata na rachunek";"150.00";"PLN";"150.01"
"18-05-2020 01:42:49";"Pobranie środków z transakcji z rachunku";"-66.23";"PLN";"0.01"
"18-05-2020 01:42:48";"Pobranie prowizji za transakcję";"-0.00000709";"BTC";"0.02159298"
"18-05-2020 01:42:48";"Otrzymanie środków z transakcji na rachunek";"0.0016478";"BTC";"0.02160007"
"15-05-2020 15:20:54";"Pobranie środków z transakcji z rachunku";"-6653.978";"LML";"0.00"
"15-05-2020 15:20:54";"Pobranie prowizji za transakcję";"-0.29";"PLN";"66.24"
"15-05-2020 15:20:54";"Otrzymanie środków z transakcji na rachunek";"66.53";"PLN";"66.53"
"09-05-2020 12:09:51";"Pobranie prowizji za transakcję";"-20.022";"LML";"6653.978"
"09-05-2020 12:09:51";"Otrzymanie środków z transakcji na rachunek";"6674.00";"LML";"6674.00"
"09-05-2020 12:09:51";"Pobranie środków z transakcji z rachunku";"-66.74";"PLN";"0.00"
"08-05-2020 18:25:52";"Pobranie prowizji za transakcję";"-0.21";"PLN";"66.74"
"08-05-2020 18:25:52";"Otrzymanie środków z transakcji na rachunek";"66.95";"PLN";"66.95"
"08-05-2020 18:25:51";"Pobranie środków z transakcji z rachunku";"-37.19650714";"ZRX";"0.00"
"08-05-2020 17:04:20";"Pobranie środków z transakcji z rachunku";"-78.45";"PLN";"0.00"
"08-05-2020 17:04:20";"Pobranie prowizji za transakcję";"-0.16063572";"ZRX";"37.19650714"
"08-05-2020 17:04:20";"Otrzymanie środków z transakcji na rachunek";"37.35714286";"ZRX";"37.35714286"
"08-05-2020 17:02:58";"Pobranie prowizji za transakcję";"-0.11";"PLN";"78.45"
"08-05-2020 17:02:58";"Otrzymanie środków z transakcji na rachunek";"34.37";"PLN";"78.56"
"08-05-2020 17:02:58";"Pobranie środków z transakcji z rachunku";"-17.62829145";"ZRX";"0.00"
"08-05-2020 17:02:50";"Pobranie prowizji za transakcję";"-0.14";"PLN";"44.19"
