Data operacji;Rodzaj;Wartość;Waluta;Saldo całkowite po operacji
"01-03-2021 12:52:03";"Wypłata środków";"-0.0044";"BTC";"0.02197454"
"19-02-2021 02:46:26";"Pobranie prowizji za transakcję";"0.00";"LTC";"2.80389748"
"19-02-2021 02:46:26";"Otrzymanie środków z transakcji na rachunek";"1.64389748";"LTC";"2.80389748"
"19-02-2021 02:46:26";"Pobranie środków z transakcji z rachunku";"-371.52083";"USDT";"0.000001"
"19-02-2021 02:03:22";"Pobranie prowizji za transakcję";"0.00";"LTC";"1.16"
"19-02-2021 02:03:22";"Otrzymanie środków z transakcji na rachunek";"1.16";"LTC";"1.16"
"19-02-2021 02:03:22";"Pobranie środków z transakcji z rachunku";"-262.16";"USDT";"371.520831"
"17-02-2021 20:40:34";"Pobranie prowizji za transakcję";"0.00";"USDT";"633.680831"
"17-02-2021 20:40:34";"Otrzymanie środków z transakcji na rachunek";"185.313821";"USDT";"633.680831"
"17-02-2021 20:40:34";"Pobranie środków z transakcji z rachunku";"-0.10154182";"ETH";"0.30503203"
"17-02-2021 17:53:10";"Pobranie prowizji za transakcję";"0.00";"USDT";"448.36701"
"17-02-2021 17:53:10";"Otrzymanie środków z transakcji na rachunek";"448.36701";"USDT";"448.36701"
"17-02-2021 17:53:10";"Pobranie środków z transakcji z rachunku";"-0.00879151";"BTC";"0.02637454"
"17-02-2021 10:19:36";"Wypłata środków";"-4171.26";"PLN";"0.00"
"13-02-2021 13:23:23";"Pobranie prowizji za transakcję";"-1.76";"PLN";"4171.26"
"13-02-2021 13:23:23";"Otrzymanie środków z transakcji na rachunek";"673.19";"PLN";"4173.02"
"13-02-2021 13:23:23";"Pobranie środków z transakcji z rachunku";"-0.10";"ETH";"0.40657385"
"13-02-2021 12:27:18";"Pobranie prowizji za transakcję";"-2.02";"PLN";"3499.83"
"13-02-2021 12:27:18";"Otrzymanie środków z transakcji na rachunek";"775.00";"PLN";"3501.85"
"13-02-2021 12:27:18";"Pobranie środków z transakcji z rachunku";"-0.00442858";"BTC";"0.03516605"
"13-02-2021 12:27:17";"Pobranie prowizji za transakcję";"-0.26";"PLN";"2726.85"
"13-02-2021 12:27:17";"Otrzymanie środków z transakcji na rachunek";"99.99";"PLN";"2727.11"
"13-02-2021 12:27:17";"Pobranie środków z transakcji z rachunku";"-0.00057142";"BTC";"0.03959463"
"10-02-2021 13:21:11";"Pobranie prowizji za transakcję";"-3.57";"PLN";"2627.12"
"10-02-2021 13:21:11";"Otrzymanie środków z transakcji na rachunek";"1427.55";"PLN";"2630.69"
"10-02-2021 13:21:11";"Pobranie środków z transakcji z rachunku";"-0.21681973";"ETH";"0.50657385"
"10-02-2021 13:20:38";"Pobranie prowizji za transakcję";"-1.25";"PLN";"1203.14"
"10-02-2021 13:20:38";"Otrzymanie środków z transakcji na rachunek";"499.99";"PLN";"1204.39"
"10-02-2021 13:20:38";"Pobranie środków z transakcji z rachunku";"-0.07594098";"ETH";"0.72339358"
"10-02-2021 13:19:20";"Pobranie prowizji za transakcję";"-1.77";"PLN";"704.40"
"10-02-2021 13:19:20";"Otrzymanie środków z transakcji na rachunek";"706.16";"PLN";"706.17"
"10-02-2021 13:19:20";"Pobranie środków z transakcji z rachunku";"-0.10725449";"ETH";"0.79933456"
"03-02-2021 23:21:00";"Pobranie środków z transakcji z rachunku";"-5152.72";"PLN";"0.01"
"03-02-2021 23:21:00";"Pobranie prowizji za transakcję";"-0.00315127";"ETH";"0.90658905"
"03-02-2021 23:21:00";"Otrzymanie środków z transakcji na rachunek";"0.85169231";"ETH";"0.90974032"
"03-02-2021 23:14:48";"Pobranie prowizji za transakcję";"-0.0000225";"ETH";"0.05804801"
"03-02-2021 23:14:48";"Otrzymanie środków z transakcji na rachunek";"0.009";"ETH";"0.05807051"
"03-02-2021 23:14:48";"Pobranie środków z transakcji z rachunku";"-54.17";"PLN";"5152.73"
"03-02-2021 23:14:10";"Pobranie prowizji za transakcję";"-0.00012299";"ETH";"0.04907051"
"03-02-2021 23:14:10";"Otrzymanie środków z transakcji na rachunek";"0.0491935";"ETH";"0.0491935"
"03-02-2021 23:14:10";"Pobranie środków z transakcji z rachunku";"-296.09";"PLN";"5206.90"
"03-02-2021 22:53:00";"Pobranie prowizji za transakcję";"-12.06";"PLN";"5502.99"
"03-02-2021 22:53:00";"Otrzymanie środków z transakcji na rachunek";"4823.02";"PLN";"5515.05"
"03-02-2021 22:53:00";"Pobranie środków z transakcji z rachunku";"-8.4469186";"LTC";"0.00"
"03-02-2021 22:51:05";"Pobranie prowizji za transakcję";"-1.74";"PLN";"692.03"
"03-02-2021 22:51:05";"Otrzymanie środków z transakcji na rachunek";"693.76";"PLN";"693.77"
"03-02-2021 22:51:05";"Pobranie środków z transakcji z rachunku";"-1.21505131";"LTC";"8.4469186"
"03-02-2021 17:29:51";"Pobranie prowizji za transakcję";"-0.02421547";"LTC";"9.66196991"
"03-02-2021 17:29:51";"Otrzymanie środków z transakcji na rachunek";"9.68618538";"LTC";"9.68618538"
"03-02-2021 17:29:51";"Pobranie środków z transakcji z rachunku";"-5433.94";"PLN";"0.01"
"03-02-2021 16:23:00";"Pobranie prowizji za transakcję";"-7.00";"PLN";"5433.95"
"03-02-2021 16:23:00";"Otrzymanie środków z transakcji na rachunek";"2691.56";"PLN";"5440.95"
"03-02-2021 16:23:00";"Pobranie środków z transakcji z rachunku";"-0.01984348";"BTC";"0.04016605"
"03-02-2021 16:22:40";"Pobranie prowizji za transakcję";"-4.22";"PLN";"2749.39"
"03-02-2021 16:22:40";"Otrzymanie środków z transakcji na rachunek";"1620.92";"PLN";"2753.61"
"03-02-2021 16:22:40";"Pobranie środków z transakcji z rachunku";"-0.0119502";"BTC";"0.06000953"
"03-02-2021 16:22:40";"Pobranie prowizji za transakcję";"-2.96";"PLN";"1132.69"
"03-02-2021 16:22:40";"Otrzymanie środków z transakcji na rachunek";"1135.62";"PLN";"1135.65"
"03-02-2021 16:22:40";"Pobranie środków z transakcji z rachunku";"-0.00837238";"BTC";"0.07195973"
"03-02-2021 02:46:17";"Pobranie prowizji za transakcję";"-0.00000012";"BTC";"0.08033211"
"03-02-2021 02:46:17";"Otrzymanie środków z transakcji na rachunek";"0.00004522";"BTC";"0.08033223"
"03-02-2021 02:46:17";"Pobranie środków z transakcji z rachunku";"-5.95";"PLN";"0.03"
"03-02-2021 02:46:17";"Pobranie prowizji za transakcję";"-0.00001288";"BTC";"0.08028701"
"03-02-2021 02:46:17";"Otrzymanie środków z transakcji na rachunek";"0.00495054";"BTC";"0.08029989"
"03-02-2021 02:46:17";"Pobranie środków z transakcji z rachunku";"-651.73";"PLN";"5.98"
"03-02-2021 02:46:16";"Pobranie prowizji za transakcję";"-0.00004254";"BTC";"0.07534935"
"03-02-2021 02:46:16";"Otrzymanie środków z transakcji na rachunek";"0.01635867";"BTC";"0.07539189"
"03-02-2021 02:46:16";"Pobranie środków z transakcji z rachunku";"-2153.61";"PLN";"657.71"
"03-02-2021 02:46:16";"Pobranie prowizji za transakcję";"-0.00004814";"BTC";"0.05903322"
"03-02-2021 02:46:16";"Otrzymanie środków z transakcji na rachunek";"0.01851332";"BTC";"0.05908136"
"03-02-2021 02:46:16";"Pobranie środków z transakcji z rachunku";"-2437.27";"PLN";"2811.32"
"02-02-2021 13:22:08";"Pobranie prowizji za transakcję";"-4.85";"PLN";"5248.59"
"02-02-2021 13:22:08";"Otrzymanie środków z transakcji na rachunek";"1937.17";"PLN";"5253.44"
"02-02-2021 13:22:07";"Pobranie środków z transakcji z rachunku";"-0.3689862";"ETH";"0.00"
"02-02-2021 12:54:08";"Pobranie prowizji za transakcję";"-0.51";"PLN";"3316.27"
"02-02-2021 12:54:08";"Otrzymanie środków z transakcji na rachunek";"203.31";"PLN";"3316.78"
"02-02-2021 12:54:08";"Pobranie środków z transakcji z rachunku";"-0.03872761";"ETH";"0.3689862"
"02-02-2021 12:51:05";"Pobranie prowizji za transakcję";"-1.25";"PLN";"3113.47"
"02-02-2021 12:51:05";"Otrzymanie środków z transakcji na rachunek";"499.99";"PLN";"3114.72"
"02-02-2021 12:51:05";"Pobranie środków z transakcji z rachunku";"-0.09523809";"ETH";"0.40771381"
"02-02-2021 12:50:50";"Pobranie prowizji za transakcję";"-1.47";"PLN";"2614.73"
"02-02-2021 12:50:50";"Otrzymanie środków z transakcji na rachunek";"584.50";"PLN";"2616.20"
"02-02-2021 12:50:50";"Pobranie środków z transakcji z rachunku";"-0.11133475";"ETH";"0.5029519"
"02-02-2021 12:50:47";"Pobranie prowizji za transakcję";"-2.51";"PLN";"2031.70"
"02-02-2021 12:50:47";"Otrzymanie środków z transakcji na rachunek";"1000.98";"PLN";"2034.21"
"02-02-2021 12:50:47";"Pobranie środków z transakcji z rachunku";"-0.19066476";"ETH";"0.61428665"
"02-02-2021 12:50:06";"Pobranie prowizji za transakcję";"-2.59";"PLN";"1033.23"
"02-02-2021 12:50:06";"Otrzymanie środków z transakcji na rachunek";"1035.82";"PLN";"1035.82"
"02-02-2021 12:50:06";"Pobranie środków z transakcji z rachunku";"-0.1973007";"ETH";"0.80495141"
"01-02-2021 10:42:03";"Wypłata środków";"-1994.13";"PLN";"0.00"
"31-01-2021 11:24:09";"Pobranie prowizji za transakcję";"-2.25";"PLN";"1994.13"
"31-01-2021 11:24:09";"Otrzymanie środków z transakcji na rachunek";"899.13";"PLN";"1996.38"
"31-01-2021 11:24:09";"Pobranie środków z transakcji z rachunku";"-0.18";"ETH";"1.00225211"
"30-01-2021 23:02:07";"Pobranie prowizji za transakcję";"-2.75";"PLN";"1097.25"
"30-01-2021 23:02:07";"Otrzymanie środków z transakcji na rachunek";"1100.00";"PLN";"1100.00"
"30-01-2021 23:02:07";"Pobranie środków z transakcji z rachunku";"-0.00859375";"BTC";"0.04056804"
"29-01-2021 10:03:36";"Pobranie prowizji za transakcję";"-0.00146553";"ETH";"1.18225211"
"29-01-2021 10:03:36";"Otrzymanie środków z transakcji na rachunek";"0.58620875";"ETH";"1.18371764"
"29-01-2021 10:03:36";"Pobranie środków z transakcji z rachunku";"-2948.63";"PLN";"0.00"
"29-01-2021 08:47:54";"Pobranie prowizji za transakcję";"-7.40";"PLN";"2948.63"
"29-01-2021 08:47:54";"Otrzymanie środków z transakcji na rachunek";"2956.02";"PLN";"2956.03"
"29-01-2021 08:47:54";"Pobranie środków z transakcji z rachunku";"-221.59145209";"OMG";"0.00"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-1196.88";"PLN";"0.01"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.31632093";"OMG";"221.59145209"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"85.49214285";"OMG";"221.90777302"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-51.05";"PLN";"1196.89"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.0134944";"OMG";"136.41563017"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"3.64713378";"OMG";"136.42912457"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-209.39";"PLN";"1247.94"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.05533905";"OMG";"132.78199079"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"14.9565";"OMG";"132.83732984"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-107.36";"PLN";"1457.33"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.02837616";"OMG";"117.88082984"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"7.66923076";"OMG";"117.909206"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-21.29";"PLN";"1564.69"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.00562922";"OMG";"110.23997524"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"1.52140841";"OMG";"110.24560446"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-9.76";"PLN";"1585.98"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.00258077";"OMG";"108.72419605"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"0.69750336";"OMG";"108.72677682"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-14.17";"PLN";"1595.74"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.00374709";"OMG";"108.02927346"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"1.01272555";"OMG";"108.03302055"
"23-01-2021 22:21:17";"Pobranie środków z transakcji z rachunku";"-1429.76";"PLN";"1609.91"
"23-01-2021 22:21:17";"Pobranie prowizji za transakcję";"-0.37786551";"OMG";"107.020295"
"23-01-2021 22:21:17";"Otrzymanie środków z transakcji na rachunek";"102.12581327";"OMG";"107.39816051"
